PACKAGE,DOMAIN,METHOD,CLASSIFICATION,CURRENT_CAPABILITY,FULL_ENGINE_CAPABILITY,CAPABILITY_LOSS,RESTORATION,NEW_ADVANCED_CAPABILITY,TEST_STATUS,PACKAGE_SHA,NEXT_PRIORITY,SWEEP_NUMBER,GAP_CLASS,SOPHISTICATION_BEFORE,SOPHISTICATION_AFTER,RESTORED_CAPABILITY,HOSTILE_FIXTURE_STATUS,PERFORMANCE_RESULT,NEXT_REVISIT_REASON
JointDistributionIntelligence,dependence,conditional distribution,ADVANCED,"Conditional-distribution v2 empirical region law","Distribution/dependence/uncertainty/provenance plus family estimators","Family-specific analytic dispatch absent","Quantiles covariance correlation uncertainty provenance","Bootstrap intervals",QUALIFIED,32bf85a30aa4648106e60bb2e1184bc1c83f1908,"Analytic elliptical conditionals",1,NEUTERED_CAPABILITY,"Conditional mean only","Reusable conditional law artifact","Distribution summaries and uncertainty","Tail sample and invalid-contract fixtures pass","Integrated QA ~0.52s; check locale-blocked","Add family dispatch and model uncertainty"
JointDistributionIntelligence,dependence,high-dimensional dependence,FRONTIER,"Vine factor graph HT Gaussian/t empirical","Purpose-specific conditional and extreme queries","Conditional queries share empirical estimator",PLANNED,"Conditional estimator dispatch",NOT_STARTED,f5f8c4e,"Family-specific conditionals",1,ADVANCED_GAP,"Advanced fitted families","Advanced families plus generic conditionals",NONE,NOT_STARTED,NOT_MEASURED,"Revisit after elliptical conditional contract"
AutoUL,unsupervised learning,out-of-sample application,ADVANCED,"HDBSCAN mixed PAM NMF and anomaly scoring now apply","Scoring-safe application for every method with canonical semantics","Some fitted methods still training-only by mathematical design","Restored engine-backed assignment projection and fitted thresholds","Density-aware OOS scoring",QUALIFIED,dcc31a622e046a2508dc6ffc9377fcdd17eedf24,"Assess LOF OOS and temporal application",1,BROKEN_PRODUCTION,"Fit without apply for three methods","Fit/transform/apply with honest exclusions","HDBSCAN mixed PAM NMF application","Remote density noise; mixed Gower; nonnegative projection; extreme anomaly pass",NOT_BENCHMARKED,"Evaluate only methods with defensible OOS semantics"
Rodeo,feature engineering,supervised categorical encoding,ADVANCED,"Cross-fitted target mean and WOE in vNext","Leakage-safe target/credibility/WOE family with scoring contracts","Legacy advanced encoders omitted from vNext","Restored target mean and WOE with smoothing and full scoring maps","Cross-fit leakage boundary and lineage",QUALIFIED,16f384afb4d73948acfbfb591ce419149db8f996,"Credibility encoding and grouped/time folds",1,NEUTERED_CAPABILITY,"Legacy encoders or unsupervised vNext only","Advanced supervised encoders in fitted plans","Target mean and WOE","Unique-level leakage and finite WOE fixtures pass","100k rows/1000 levels: 0.16s","Add grouped/time cross-fitting and credibility shrinkage"
ForecastIntelligence,forecasting,CARMA vNext,FRONTIER,"Hurdle vector hierarchy relational temporal stochastic tournament","Full expert engine with evidence-backed admission","Some families deferred/rejected",REVIEW_REQUIRED,"Requalify without weakening authority",BASELINE_AUDITED,62d7f04,"Capability versus authority separation",1,NEUTERED_CAPABILITY,"Advanced breadth with exclusions","Pending",NONE,NOT_STARTED,NOT_MEASURED,"Revisit after cross-domain restore targets"
ResponseIntelligence,response and elasticity,governed response surfaces,FRONTIER,"Bayesian hierarchical multivariable response and scenarios","Comprehensive heterogeneous structural response uncertainty","No obvious neutering first pass",NONE,"Structural model uncertainty",BASELINE_AUDITED,e725912,"Applicability and uncertainty benchmark",1,ADVANCED_GAP,"Strong frontier baseline","Pending",NONE,NOT_STARTED,NOT_MEASURED,"Hostile heterogeneity and overlap sweep"
DecisionIntelligence,decision science,stochastic campaigns,FRONTIER,"Chance regret Pareto coupled robust policies","Scalable stochastic/distributionally robust optimization","Solver breadth and scaling unqualified",NONE,"Ambiguity sets and decomposition",BASELINE_AUDITED,26a209d,"Profile frontier campaigns",1,PERFORMANCE_GAP,"Frontier methods present","Pending",NONE,NOT_STARTED,NOT_MEASURED,"Hostile constrained frontier campaign"
FinancialIntelligence,financial risk,pricing and risk system,FRONTIER,"Closed form MC PDE lattice Greeks hedging tail QMC","Unified pricing/risk with model risk and path dependence","Calibration and scaling need audit",REVIEW_REQUIRED,"Advanced calibration",BASELINE_AUDITED,17cd4b1,"Stochastic volatility and portfolio seams",1,ADVANCED_GAP,"Broad advanced baseline","Pending",NONE,NOT_STARTED,NOT_MEASURED,"Calibration and tail-risk hostile sweep"
ScientificIntelligence,scientific modeling,mechanistic inference,FRONTIER,"ODE SDE DDE DAE hybrid PDE uncertainty assimilation","Deterministic stochastic and spatial inference","Production SPDE unavailable",PLANNED,"SPDE contract and solver",BASELINE_AUDITED,6d5ed22,"Bounded SPDE architecture",1,ADVANCED_GAP,"Frontier non-SPDE system","Pending",NONE,NOT_STARTED,NOT_MEASURED,"Do not fake SPDE; qualify numerics first"
ProbabilityEngine,probability and uncertainty,probability substrate,STRONG_PRODUCTION,"Native kernels robust fit mixtures hurdle KDE Bayes EVT QMC","Numerically robust compositional uncertainty","Numerical breadth needs deeper audit",REVIEW_REQUIRED,"Advanced composition",BASELINE_AUDITED,f4a0757,"Tail accuracy audit",1,NUMERICAL_GAP,"Strong production substrate","Pending",NONE,NOT_STARTED,NOT_MEASURED,"Pathological numerical fixture sweep"
EpistemicIntelligence,epistemic judgment,structured judgment,ADVANCED,"Evidence findings gates governed judgments","Calibrated conflict-aware belief revision","Cross-domain calibration limited",REVIEW_REQUIRED,"Adversarial calibration",BASELINE_AUDITED,226019e,"Confidence consistency",1,AUTOMATION_GAP,"Structured judgments","Pending",NONE,NOT_STARTED,NOT_MEASURED,"Conflict and counter-evidence sweep"
MethodologicalIntelligence,method authority,method election,ADVANCED,"Purpose-separated authority handoffs","Election across applicability uncertainty stability purpose","Test surface small",REVIEW_REQUIRED,"Disagreement adjudication",BASELINE_AUDITED,483ec82,"Adversarial authority QA",1,HOSTILE_QA_GAP,"Authority framework","Pending",NONE,NOT_STARTED,NOT_MEASURED,"Cross-domain election fixtures"
AutoNLS,nonlinear scientific regression,nonlinear model system,ADVANCED,"Registry robust losses multistart derivatives intervals in active work","Profile uncertainty constraints structural comparison","Concurrent dirty interval/artifact work prevents isolated change",REVIEW_REQUIRED,"Profile likelihood and multimodality",CONCURRENT_WORK,ee1e980,"Revisit after active work publishes",1,ADVANCED_GAP,"Advanced fitting plus evolving intervals","Pending",NONE,NOT_STARTED,NOT_MEASURED,"Do not overwrite active worktree"
RetroFit,supervised machine learning,supervised modeling system,STRONG_PRODUCTION,"Broad supervised backend","Ensembles calibration uncertainty constraints scoring","Detailed loss audit pending",REVIEW_REQUIRED,"Frontier supervised candidates",INVENTORY_ONLY,0f7d578,"Map engines to APIs",1,INVENTORY_GAP,"Unknown detailed exposure","Pending",NONE,NOT_STARTED,NOT_MEASURED,"Clean worktree deep audit"
RetroFit,supervised machine learning,weighted scoring-safe native ensembles,ADVANCED,"Polars-first CatBoost LightGBM XGBoost fit/persist/apply with fixed early stopping and no observation weights","Native weighted fitting weighted validation expert early-stopping control and durable native model payloads","Cost/exposure weighting unavailable; XGBoost fit succeeded but sklearn-wrapper persistence failed in current environment",RESTORED,"Weighted metrics and explicit early-stopping authority across all three engines",QUALIFIED,deb077ea5ef1a524c17a444a6d687a1ff0d50cf3,"Distributional objectives calibration uncertainty constraints and validation strategies",1,BROKEN_PRODUCTION_CAPABILITY,"Unweighted fit and failing XGBoost persistence","Weighted scoring-safe native persistence across CatBoost LightGBM and XGBoost","Observation weights native Booster persistence configurable early stopping","Negative all-zero NaN weights fail closed; weighted fit/apply passes all engines","Suite improved from 8 pass/2 fail to 16 pass/0 fail in ~4s","Restore quantile/distributional outputs and group/time validation without narrowing engine parameters"
PolarsFE,feature engineering,Polars plan-spec engineering,STRONG_PRODUCTION,"Plan/spec orchestration","Batched native expressions and scoring-safe specs","Orchestration slower than direct Polars",PLANNED,"Expression compiler",BASELINE_AUDITED,unrecorded,"Safe hot-path optimization",1,PERFORMANCE_GAP,"Correct orchestration","Pending",NONE,SAFETY_GUARDS_EXIST,"Large Python runs opt-in after native crash","Resume only with subprocess safety"
